,gender,age,time,year,time_seconds
1445,M,57,2:07:48,2018,7668
1446,M,53,2:07:59,2018,7679
1447,M,46,2:08:03,2018,7683
1448,F,57,2:08:16,2018,7696
1449,F,59,2:09:02,2018,7742
1450,F,36,2:10:53,2018,7853
1451,F,40,2:11:22,2018,7882
1452,F,28,2:12:10,2018,7930
1453,F,51,2:12:21,2018,7941
1454,M,34,2:12:48,2018,7968
1455,F,34,2:13:17,2018,7997
1456,F,59,2:13:17,2018,7997
1457,M,31,2:14:18,2018,8058
1458,F,34,2:14:39,2018,8079
1459,F,63,2:15:15,2018,8115
1460,M,58,2:15:55,2018,8155
1461,F,43,2:19:34,2018,8374
1462,F,26,2:19:58,2018,8398
1463,F,45,2:20:40,2018,8440
1464,F,15,2:21:24,2018,8484
1465,F,43,2:21:25,2018,8485
1466,F,54,2:21:52,2018,8512
1467,M,39,2:21:53,2018,8513
1468,F,51,2:22:50,2018,8570
1469,F,39,2:24:01,2018,8641
1470,M,56,2:24:27,2018,8667
1471,F,35,2:25:18,2018,8718
1472,M,55,2:39:29,2018,9569
1473,F,48,2:41:16,2018,9676
1474,M,31,3:03:19,2018,10999
1475,F,58,3:18:07,2018,11887
1476,M,23,53:00,2022,3180
1477,M,27,53:04,2022,3184
1478,M,43,53:30,2022,3210
1479,M,27,54:18,2022,3258
1480,M,29,55:09,2022,3309
1481,M,39,59:56,2022,3596
1482,M,33,1:01:07,2022,3667
1483,F,27,1:01:14,2022,3674
1484,M,33,1:01:15,2022,3675
1485,M,19,1:02:07,2022,3727
1486,M,36,1:02:23,2022,3743
1487,M,42,1:02:26,2022,3746
1488,M,31,1:02:34,2022,3754
1489,M,33,1:03:42,2022,3822
1490,M,32,1:03:47,2022,3827
1491,M,47,1:04:38,2022,3878
1492,M,18,1:05:02,2022,3902
1493,M,43,1:05:12,2022,3912
1494,M,49,1:05:22,2022,3922
1495,F,37,1:05:28,2022,3928
1496,M,16,1:06:59,2022,4019
1497,M,57,1:07:04,2022,4024
1498,M,46,1:07:05,2022,4025
1499,M,65,1:07:36,2022,4056
1500,M,37,1:08:03,2022,4083
1501,F,48,1:08:20,2022,4100
1502,M,44,1:08:35,2022,4115
1503,F,39,1:08:42,2022,4122
1504,M,61,1:08:54,2022,4134
1505,M,39,1:09:05,2022,4145
1506,F,24,1:09:08,2022,4148
1507,M,50,1:09:08,2022,4148
1508,M,27,1:09:11,2022,4151
1509,M,39,1:09:14,2022,4154
1510,M,26,1:09:18,2022,4158
1511,M,51,1:09:31,2022,4171
1512,M,35,1:09:55,2022,4195
1513,M,41,1:10:19,2022,4219
1514,M,43,1:10:57,2022,4257
1515,M,35,1:11:00,2022,4260
1516,M,38,1:11:00,2022,4260
1517,M,35,1:11:01,2022,4261
1518,M,34,1:11:16,2022,4276
1519,M,26,1:11:19,2022,4279
1520,M,49,1:11:23,2022,4283
1521,M,44,1:11:47,2022,4307
1522,F,41,1:11:50,2022,4310
1523,M,37,1:11:58,2022,4318
1524,M,36,1:12:13,2022,4333
1525,M,36,1:12:41,2022,4361
1526,M,35,1:12:56,2022,4376
1527,M,29,1:13:08,2022,4388
1528,F,46,1:13:12,2022,4392
1529,M,53,1:13:18,2022,4398
1530,F,37,1:13:23,2022,4403
1531,M,29,1:13:50,2022,4430
1532,F,40,1:14:01,2022,4441
1533,M,17,1:14:04,2022,4444
1534,F,26,1:14:05,2022,4445
1535,M,35,1:14:06,2022,4446
1536,M,32,1:14:33,2022,4473
1537,M,31,1:14:37,2022,4477
1538,M,40,1:14:58,2022,4498
1539,M,21,1:15:00,2022,4500
1540,F,22,1:15:03,2022,4503
1541,M,48,1:15:27,2022,4527
1542,M,40,1:15:56,2022,4556
1543,F,16,1:16:02,2022,4562
1544,M,49,1:16:29,2022,4589
1545,M,29,1:16:33,2022,4593
1546,M,46,1:16:35,2022,4595
1547,M,51,1:16:46,2022,4606
1548,M,55,1:16:53,2022,4613
1549,M,32,1:16:59,2022,4619
1550,M,42,1:17:05,2022,4625
1551,M,41,1:17:08,2022,4628
1552,M,33,1:17:10,2022,4630
1553,M,57,1:17:12,2022,4632
1554,M,41,1:17:19,2022,4639
1555,F,33,1:17:21,2022,4641
1556,F,18,1:17:24,2022,4644
1557,F,15,1:17:24,2022,4644
1558,M,47,1:17:26,2022,4646
1559,M,67,1:17:27,2022,4647
1560,F,44,1:17:28,2022,4648
1561,F,36,1:17:32,2022,4652
1562,M,21,1:17:32,2022,4652
1563,M,37,1:17:38,2022,4658
1564,M,48,1:17:54,2022,4674
1565,M,48,1:18:08,2022,4688
1566,M,63,1:18:10,2022,4690
1567,F,28,1:18:17,2022,4697
1568,M,35,1:18:18,2022,4698
1569,M,37,1:18:27,2022,4707
